Plant_Name,Best_Season,Depth_cm,Texture,pH,Organic_Matter_%,Moisture_Content_%,Bulk_Density_g/cm³,Nitrogen_N_ppm,Phosphorus_P_ppm,Potassium_K_ppm,Cation_Exchange_Capacity_meq/100g,Electrical_Conductivity_dS/m,Soil_Color,Porosity_%,Water_Holding_Capacity_%
Coconut,Autumn,34.9,Clayey,7.23,2.66,15.7,1.29,48.33,47.06,111.74,14.72,3.42,Yellow,50.51,30.73
Millet,Spring,15.9,Clayey,5.59,0.88,21.14,1.1,55.31,48.02,169.38,18.9,4.82,Yellow,30.98,41.15
Asparagus,Spring,73.5,Clayey,6.1,0.6,35.79,1.35,91.6,15.97,113.75,25.93,4.85,Yellow,36.76,20.37
Cucumber,Summer,31.4,Clayey,6.3,4.65,24.23,1.52,52.69,41.38,108.75,25.5,4.58,Black,59.37,48.52
Rubber,Spring,45.0,Silty,5.72,4.15,11.79,1.38,22.83,32.94,177.52,26.38,2.52,Gray,57.18,35.76
Bell Pepper,Autumn,49.9,Silty,6.56,3.62,13.32,1.4,36.04,23.4,50.19,19.41,1.77,Brown,58.94,30.75
Brussels Sprout,Autumn,90.2,Loamy,5.58,4.39,34.4,1.12,70.5,34.95,177.83,18.99,1.47,Brown,59.88,36.84
Thyme,Summer,47.0,Silty,7.16,4.11,32.31,1.53,20.09,48.02,77.21,27.63,2.92,Red,31.92,41.47
Onion,Autumn,23.1,Sandy,6.13,3.41,36.28,1.29,30.86,28.26,91.18,12.21,2.32,Black,47.13,28.2
Coconut,Winter,57.2,Loamy,6.36,4.31,13.57,1.59,99.62,47.3,104.24,8.64,4.97,Gray,55.02,28.73
Fig,Winter,96.7,Clayey,8.23,2.26,32.81,1.16,10.5,33.93,182.1,7.07,2.72,Red,39.59,34.05
Mango,Autumn,64.7,Clayey,7.01,2.99,29.65,1.57,23.7,26.73,186.3,27.03,1.71,Gray,43.07,40.1
Black Gram,Summer,98.5,Silty,6.31,3.99,16.97,1.42,85.93,33.99,149.18,14.29,3.22,Yellow,38.51,41.19
Green Gram,Spring,85.7,Loamy,7.3,0.88,39.22,1.13,19.12,32.11,115.92,17.47,0.31,Gray,31.14,29.72
Wheat,Summer,13.2,Silty,6.11,4.36,27.11,1.59,13.03,23.98,127.42,25.08,0.64,Red,32.18,29.67
Cabbage,Spring,69.3,Silty,5.72,1.21,37.21,1.11,20.92,30.31,137.06,14.33,3.35,Black,30.64,34.61
Clove,Autumn,35.8,Silty,5.56,4.39,35.77,1.47,72.42,36.65,193.1,26.7,0.7,Black,45.82,36.26
Tomato,Autumn,60.4,Loamy,8.35,1.9,19.99,1.54,99.38,42.75,195.38,13.04,3.8,Yellow,48.55,39.48
Okra,Winter,35.1,Clayey,7.67,1.97,26.08,1.19,63.16,18.69,177.1,23.31,0.4,Brown,39.23,38.53
Sweet Potato,Spring,41.4,Sandy,7.9,0.83,22.94,1.27,21.19,5.66,137.56,21.68,3.01,Red,54.78,31.18
Quinoa,Summer,93.1,Clayey,8.44,4.49,31.27,1.38,26.54,29.8,108.61,10.03,3.42,Brown,56.64,28.91
Pearl Millet,Autumn,28.6,Loamy,8.29,1.29,27.64,1.44,58.39,27.02,84.54,8.11,3.92,Yellow,34.19,29.24
Barley,Summer,88.7,Clayey,7.71,3.34,33.55,1.54,74.41,7.44,130.17,7.79,4.44,Gray,31.56,39.36
Corn,Winter,12.7,Clayey,7.58,3.4,10.35,1.48,69.66,33.46,101.84,21.27,1.63,Gray,39.58,32.99
Turmeric,Spring,18.2,Sandy,6.51,1.77,30.63,1.28,61.73,47.36,60.91,5.32,3.62,Yellow,51.39,24.03
Spinach,Spring,86.9,Clayey,5.81,4.94,19.57,1.51,98.76,23.1,121.43,21.52,0.5,Black,45.22,20.18
Turmeric,Autumn,66.8,Clayey,7.22,0.79,16.73,1.58,27.82,45.25,135.66,24.55,4.17,Red,44.64,20.89
Papaya,Spring,77.3,Clayey,7.23,3.24,34.04,1.21,25.56,41.59,141.7,12.56,4.46,Yellow,34.57,46.03
Pear,Autumn,28.8,Silty,8.36,2.66,12.68,1.14,87.32,12.28,61.07,23.64,3.77,Yellow,40.54,33.73
Pear,Winter,58.3,Loamy,6.83,1.6,16.85,1.31,36.17,40.43,122.47,9.13,1.48,Red,58.77,39.72
Zucchini,Spring,76.3,Loamy,7.57,1.24,16.11,1.54,39.93,28.25,148.39,29.01,0.41,Black,40.22,47.87
Rye,Autumn,66.5,Sandy,7.22,3.82,22.59,1.18,59.38,46.34,194.16,10.8,2.17,Black,47.74,23.79
Asparagus,Summer,52.5,Silty,6.03,4.62,19.67,1.54,44.31,13.52,53.76,17.21,1.43,Red,31.75,33.43
Dragon Fruit,Autumn,96.4,Silty,7.28,0.98,31.61,1.6,35.89,10.63,151.44,29.51,2.7,Brown,31.92,36.17
Cherry,Spring,70.9,Clayey,7.12,1.37,30.98,1.13,92.55,15.86,59.35,27.68,2.03,Gray,42.73,45.25
Wheat,Winter,91.7,Loamy,6.98,4.94,19.76,1.35,21.63,7.68,73.83,21.49,0.77,Red,48.12,49.81
Black Pepper,Spring,75.7,Sandy,7.04,0.57,23.11,1.26,46.39,19.4,76.0,14.23,4.2,Black,41.17,41.35
Cashew,Spring,76.2,Silty,5.99,2.79,16.24,1.3,10.27,17.74,99.33,22.5,4.34,Brown,35.37,39.26
Fig,Autumn,17.2,Clayey,6.89,2.82,30.13,1.33,82.67,23.73,174.69,16.51,4.08,Yellow,52.08,47.61
Soybean,Summer,42.4,Sandy,7.32,1.68,21.89,1.47,25.16,25.83,178.44,7.72,1.13,Yellow,34.2,45.12
Jute,Spring,87.3,Silty,6.97,3.48,13.98,1.4,79.57,11.51,106.24,24.9,2.2,Yellow,50.04,45.95
Hemp,Summer,30.9,Sandy,6.97,4.75,13.82,1.58,23.37,32.87,114.7,26.79,0.94,Gray,58.7,20.08
Banana,Autumn,20.4,Silty,5.73,2.53,19.67,1.27,47.51,15.06,82.55,15.19,3.36,Black,44.12,35.43
Orange,Summer,39.3,Sandy,6.07,3.87,32.42,1.37,75.54,10.49,114.88,21.64,4.04,Brown,36.01,43.48
Okra,Autumn,29.8,Silty,6.46,3.41,10.77,1.51,34.37,36.9,91.23,5.76,2.95,Black,55.26,25.44
Pearl Millet,Winter,93.3,Silty,6.76,2.63,17.73,1.29,38.25,6.02,76.23,9.93,2.78,Gray,45.16,42.54
Raspberry,Summer,88.1,Sandy,7.28,0.72,14.87,1.33,70.06,21.58,73.77,19.26,3.6,Gray,57.7,20.27
Pomegranate,Summer,55.0,Silty,8.09,3.84,38.69,1.44,26.89,11.5,166.35,11.85,0.66,Red,51.62,37.26
Cucumber,Winter,15.5,Silty,5.98,2.13,31.16,1.53,95.66,44.73,67.54,28.61,1.31,Black,42.92,45.54
Orange,Summer,74.3,Silty,5.55,1.51,17.0,1.31,26.99,42.1,142.41,25.93,1.64,Yellow,48.52,32.94
Ginger,Winter,66.1,Sandy,6.85,4.77,16.22,1.37,77.5,7.72,75.12,21.38,2.71,Red,35.1,42.18
Corn,Spring,97.3,Sandy,6.8,3.98,35.74,1.59,82.23,29.77,175.68,29.97,4.88,Black,41.62,35.91
Date Palm,Autumn,60.3,Silty,7.16,4.83,15.71,1.12,43.69,18.29,91.17,11.08,4.33,Red,47.82,39.42
Sorghum,Winter,40.3,Silty,8.0,1.65,39.91,1.32,24.06,13.66,56.73,27.98,1.31,Red,47.7,35.5
Hemp,Summer,56.7,Sandy,7.91,4.26,18.47,1.42,24.93,19.02,117.81,12.61,1.24,Brown,47.62,34.28
Ginger,Winter,98.1,Clayey,5.8,3.23,12.53,1.1,98.69,41.71,199.97,19.91,2.23,Red,52.31,45.25
Barley,Summer,72.7,Silty,8.3,4.92,30.73,1.4,75.29,7.6,171.97,15.86,4.88,Gray,33.17,22.78
Muskmelon,Spring,70.5,Clayey,5.83,4.76,28.29,1.13,50.5,34.17,135.54,16.08,0.85,Yellow,32.21,37.54
Muskmelon,Winter,31.7,Sandy,7.4,4.88,39.99,1.53,33.16,46.1,78.42,24.06,4.79,Brown,34.44,23.44
Basil,Spring,76.9,Silty,7.52,4.78,34.06,1.5,11.7,25.16,67.63,13.69,1.03,Red,53.77,36.88
Rye,Autumn,77.5,Clayey,7.54,0.53,22.87,1.12,70.34,45.57,175.78,17.69,4.44,Brown,31.95,48.91
Walnut,Summer,38.6,Sandy,6.3,3.83,30.3,1.12,96.12,45.81,168.16,10.29,4.17,Yellow,36.76,21.71
Spinach,Summer,53.5,Clayey,6.49,1.72,34.54,1.48,19.62,32.43,119.33,24.09,4.42,Yellow,37.64,32.66
Lychee,Spring,36.5,Loamy,7.15,3.67,25.41,1.28,77.9,25.51,113.21,18.8,4.47,Brown,49.42,44.06
Asparagus,Autumn,33.3,Sandy,6.1,4.91,18.19,1.39,23.79,38.19,162.3,11.38,1.17,Black,42.05,31.09
Lentils,Winter,12.3,Loamy,5.56,0.68,16.3,1.24,81.29,46.23,130.41,11.65,3.92,Yellow,35.97,35.61
Flax,Winter,35.7,Sandy,7.19,3.05,18.86,1.19,43.35,35.6,110.63,12.34,3.44,Gray,43.49,23.44
Kiwi,Summer,59.9,Sandy,6.9,3.81,35.44,1.25,74.09,14.43,87.76,22.48,4.41,Gray,50.56,26.69
Black Pepper,Spring,10.1,Silty,7.47,1.64,21.41,1.22,93.37,41.9,68.38,19.88,2.5,Red,53.58,40.59
Guava,Spring,35.5,Loamy,5.94,1.51,18.6,1.32,65.81,47.82,139.22,25.56,2.13,Black,33.72,44.86
Tobacco,Winter,89.3,Loamy,8.02,0.77,34.18,1.47,92.86,23.46,173.91,19.29,3.66,Black,51.44,39.39
Black Gram,Autumn,63.4,Loamy,5.94,0.92,10.96,1.38,31.15,36.39,161.93,12.67,1.42,Red,30.14,45.11
Guava,Autumn,64.7,Sandy,8.17,3.46,27.82,1.4,98.03,28.32,154.45,29.07,4.12,Yellow,51.73,38.17
Date Palm,Winter,46.3,Loamy,6.85,2.77,36.21,1.34,88.56,10.04,189.33,27.15,1.5,Brown,49.83,44.31
Black Gram,Winter,70.9,Loamy,7.15,0.64,22.3,1.26,19.68,20.74,109.18,11.97,0.31,Black,44.06,49.49
Yam,Spring,27.1,Silty,8.19,4.86,18.08,1.17,47.22,12.37,70.58,27.82,2.8,Black,34.11,22.48
Beetroot,Autumn,83.7,Clayey,6.4,3.45,24.75,1.28,93.43,35.31,65.29,23.0,4.2,Yellow,52.94,34.39
Lychee,Winter,20.5,Clayey,6.05,2.82,31.52,1.43,17.03,31.19,193.25,15.37,3.48,Brown,32.15,25.7
Kale,Winter,69.0,Loamy,6.84,1.73,25.5,1.47,50.84,6.51,138.34,16.67,4.95,Gray,56.87,33.96
Black Pepper,Summer,40.7,Loamy,6.23,3.46,10.23,1.33,75.12,7.77,171.62,16.16,0.79,Black,53.2,34.99
Rubber,Winter,77.3,Loamy,7.08,2.14,12.35,1.42,13.01,16.74,130.33,24.92,1.79,Yellow,52.23,38.66
Black Gram,Winter,59.5,Loamy,6.33,3.66,31.64,1.21,77.75,38.52,109.77,9.39,1.96,Black,52.63,33.18
Cardamom,Autumn,50.7,Clayey,8.09,3.57,22.0,1.53,42.51,10.71,80.04,6.47,0.38,Gray,32.03,29.74
Guava,Spring,25.2,Silty,7.32,0.92,33.54,1.53,32.44,14.21,178.46,17.46,0.31,Red,59.7,21.3
Horse Gram,Autumn,67.3,Sandy,5.5,4.59,29.48,1.26,61.84,45.84,59.53,12.26,0.24,Yellow,55.76,21.04
Chili,Spring,97.7,Loamy,7.92,2.69,27.45,1.37,58.99,29.58,185.03,19.1,2.1,Brown,45.24,25.25
Lychee,Summer,84.3,Loamy,6.49,2.27,37.04,1.4,88.65,32.94,80.75,29.45,4.24,Red,51.58,33.47
Beetroot,Winter,15.4,Clayey,6.46,4.8,10.64,1.34,70.84,25.51,51.43,21.79,3.58,Brown,52.18,32.53
Black Pepper,Summer,43.9,Loamy,6.65,2.47,14.65,1.56,47.97,18.49,65.58,28.98,2.29,Gray,54.89,25.72
Sweet Potato,Spring,93.3,Silty,7.39,3.75,28.73,1.47,68.51,16.21,182.53,23.3,1.39,Brown,37.66,44.67
Barley,Autumn,55.3,Silty,6.83,3.45,11.97,1.44,77.51,31.51,61.06,6.9,0.18,Black,41.16,40.5
Radish,Autumn,69.6,Loamy,7.39,1.24,29.35,1.36,94.36,26.19,103.29,27.23,0.96,Gray,53.99,30.29
Soybean,Summer,92.1,Clayey,5.94,4.96,39.52,1.14,73.38,23.14,87.55,9.97,2.0,Red,53.07,43.91
Sugarcane,Spring,88.6,Loamy,8.41,2.59,36.36,1.15,58.95,36.25,55.53,26.62,1.92,Black,45.68,49.68
Fenugreek,Summer,55.2,Loamy,7.69,2.28,27.73,1.25,43.57,23.19,129.72,23.73,1.37,Black,41.89,27.35
Rye,Summer,49.4,Clayey,6.25,4.64,36.82,1.21,90.23,6.65,199.75,25.97,4.99,Gray,59.05,30.88
Pear,Winter,40.6,Silty,7.67,2.88,13.49,1.58,81.33,42.79,177.95,11.34,2.29,Brown,42.45,49.79
Rye,Summer,74.7,Sandy,7.23,3.67,23.64,1.3,16.95,19.33,75.33,25.18,1.41,Brown,52.92,24.14
Broccoli,Winter,35.8,Loamy,5.83,4.31,22.86,1.54,72.96,47.59,182.65,20.26,2.09,Red,42.38,22.32
Chili,Winter,32.5,Silty,6.03,1.56,20.09,1.51,58.49,44.58,117.77,7.05,1.47,Gray,39.3,35.63
Quinoa,Autumn,42.1,Loamy,5.62,1.26,10.01,1.51,19.33,15.53,90.99,27.23,1.83,Red,49.23,34.05
Orange,Winter,25.9,Sandy,7.93,0.81,36.73,1.21,60.85,48.45,146.05,26.92,0.72,Yellow,54.23,22.35
Tomato,Winter,72.6,Clayey,7.16,4.54,33.33,1.32,27.33,43.41,82.5,19.3,0.1,Gray,59.44,28.7
Turmeric,Autumn,65.5,Silty,6.45,1.4,29.59,1.26,73.73,49.33,181.95,16.32,2.51,Yellow,34.47,32.57
Flax,Summer,53.5,Sandy,5.88,1.88,13.87,1.59,35.06,35.51,143.63,15.01,2.5,Red,56.28,44.67
Fig,Spring,45.1,Loamy,6.95,1.79,21.35,1.54,23.53,46.88,70.4,20.07,0.87,Yellow,45.72,41.24
Cocoa,Spring,91.8,Sandy,7.08,1.87,37.73,1.22,17.38,36.05,135.6,26.04,4.18,Yellow,33.23,47.44
Kiwi,Spring,12.6,Silty,7.61,3.51,28.51,1.26,54.17,43.48,126.56,19.15,1.04,Black,53.83,29.97
Spinach,Summer,79.2,Clayey,8.41,4.79,28.1,1.36,27.97,32.47,120.72,8.24,3.87,Black,39.95,29.28
Clove,Winter,91.2,Loamy,6.8,1.98,37.39,1.24,86.96,46.81,104.75,12.65,1.03,Red,56.05,33.9
Passion Fruit,Spring,50.2,Clayey,6.72,2.33,26.8,1.51,10.27,28.31,121.13,21.71,1.48,Red,34.73,20.23
Pearl Millet,Summer,59.6,Clayey,6.61,3.97,27.93,1.51,85.93,38.15,137.9,21.17,1.42,Brown,51.33,26.22
Kiwi,Winter,95.0,Sandy,7.98,2.45,20.37,1.46,56.9,46.26,160.04,17.97,1.22,Yellow,39.02,26.34
Oats,Autumn,29.1,Sandy,5.97,4.67,21.14,1.44,92.99,24.01,187.68,11.01,4.77,Brown,37.72,21.83
Carrot,Spring,56.8,Silty,6.53,2.76,30.57,1.37,28.42,6.19,56.66,11.76,1.39,Brown,31.51,33.65
Soybean,Winter,52.7,Silty,7.67,2.06,19.61,1.27,19.2,10.09,135.4,17.11,2.48,Gray,44.46,47.17
Soybean,Spring,33.3,Clayey,5.55,4.87,26.77,1.52,66.25,48.74,162.8,14.86,3.7,Brown,41.75,20.12
Fenugreek,Spring,83.7,Silty,6.37,2.42,18.38,1.53,73.61,44.29,67.33,12.9,1.66,Brown,31.85,38.85
Pumpkin,Spring,91.0,Clayey,7.42,1.54,14.98,1.12,43.53,26.75,186.72,25.74,0.16,Yellow,36.8,46.38
Saffron,Winter,80.4,Loamy,6.06,1.3,23.63,1.3,11.23,48.24,86.75,17.6,3.83,Brown,44.62,23.23
Foxtail Millet,Summer,27.6,Clayey,6.41,4.98,16.52,1.11,46.63,13.35,175.0,17.58,1.49,Yellow,54.25,47.52
Saffron,Winter,17.8,Silty,6.96,3.89,36.95,1.52,31.04,9.99,149.3,15.7,4.38,Yellow,57.88,44.56
Onion,Spring,64.5,Silty,6.77,2.34,19.11,1.19,41.27,32.06,133.93,22.02,2.51,Brown,45.46,26.44
Watermelon,Winter,15.1,Clayey,5.82,4.22,27.92,1.44,55.61,22.2,180.39,9.39,3.16,Yellow,42.1,47.16
Banana,Autumn,70.6,Sandy,8.31,2.96,17.9,1.28,73.21,20.29,195.39,28.59,4.76,Red,58.64,44.12
Date Palm,Summer,57.7,Clayey,5.63,1.93,17.74,1.51,96.69,38.04,199.57,7.62,4.36,Red,58.89,23.34
Bamboo,Winter,69.7,Clayey,7.75,3.85,20.52,1.35,22.96,11.75,152.49,22.76,3.98,Yellow,35.71,44.92
Black Pepper,Autumn,63.1,Sandy,5.71,3.86,37.48,1.26,71.19,40.03,100.87,22.61,2.7,Red,45.94,36.27
Mustard,Summer,48.0,Loamy,6.9,2.75,21.74,1.26,30.99,21.18,181.2,7.85,0.93,Gray,54.63,44.48
Cabbage,Autumn,28.1,Sandy,6.03,0.7,34.64,1.26,29.86,49.4,148.15,29.83,4.22,Black,54.67,38.53
Barley,Summer,37.5,Silty,5.92,0.85,15.92,1.49,67.02,41.39,98.5,5.86,0.56,Red,50.55,31.76
Yam,Winter,57.2,Sandy,5.88,4.05,11.45,1.46,79.84,34.08,189.85,14.12,4.45,Brown,44.14,38.03
Okra,Autumn,68.7,Silty,6.86,4.21,33.45,1.26,98.0,15.33,162.15,15.62,3.85,Red,42.11,39.09
Tea,Spring,80.2,Silty,7.05,3.55,26.26,1.35,79.19,48.04,117.92,25.07,4.04,Gray,54.19,42.99
Bamboo,Autumn,79.0,Clayey,5.9,4.28,25.11,1.14,24.16,6.48,118.17,5.75,1.95,Gray,36.77,44.92
Cauliflower,Summer,97.5,Clayey,8.44,3.74,18.17,1.51,30.29,15.05,199.39,18.93,0.52,Gray,42.85,39.9
Cabbage,Winter,35.7,Loamy,6.27,4.54,12.17,1.23,78.53,6.65,106.06,10.1,3.66,Red,47.01,49.69
Buckwheat,Summer,16.4,Silty,6.88,1.18,24.49,1.54,57.43,48.49,64.11,19.31,4.89,Black,54.95,43.36
Wheat,Autumn,41.1,Clayey,6.15,2.24,36.02,1.4,36.59,44.22,130.78,21.16,4.31,Brown,41.22,47.32
Barley,Autumn,76.9,Silty,6.98,2.59,13.6,1.38,52.46,47.84,182.73,5.85,4.22,Black,46.46,29.58
Sorghum,Spring,49.4,Loamy,7.77,1.84,37.88,1.18,92.34,37.18,137.68,6.69,3.2,Red,38.37,29.49
Eggplant,Winter,83.6,Silty,7.06,3.76,18.24,1.13,78.0,6.23,168.96,7.13,0.67,Black,55.11,30.87
Almond,Winter,59.4,Loamy,6.36,4.61,25.97,1.38,50.56,46.92,58.23,26.31,4.33,Yellow,53.57,33.19
Orange,Autumn,93.7,Loamy,6.25,2.36,12.0,1.33,98.25,23.94,151.01,28.17,1.19,Brown,54.6,48.84
Coconut,Winter,95.3,Loamy,7.78,4.74,22.75,1.16,81.54,21.57,61.88,15.94,1.4,Yellow,31.72,22.21
Dragon Fruit,Spring,16.2,Clayey,5.85,2.83,13.78,1.52,10.53,17.79,133.45,26.87,3.8,Yellow,44.61,34.95
Eggplant,Summer,51.1,Sandy,6.61,2.85,11.44,1.31,20.11,17.91,124.67,16.91,3.61,Black,34.08,24.83
Cashew,Winter,64.9,Sandy,5.95,3.2,39.0,1.23,59.86,41.03,191.84,15.03,0.46,Yellow,50.21,44.33
Onion,Autumn,33.0,Clayey,6.27,1.71,31.9,1.49,41.5,16.54,69.87,18.28,1.33,Brown,39.34,20.93
Cherry,Summer,46.6,Silty,5.96,2.23,31.57,1.56,83.13,15.0,51.42,24.75,4.11,Yellow,53.24,33.65
Cucumber,Summer,71.0,Clayey,8.16,2.99,12.72,1.25,90.61,36.41,70.6,10.59,4.75,Red,31.96,31.84
Walnut,Spring,30.4,Silty,7.7,4.74,37.88,1.49,31.66,17.94,75.61,12.54,1.4,Brown,45.4,22.77
Brussels Sprout,Autumn,64.2,Loamy,7.18,3.39,24.08,1.43,78.7,5.59,87.64,26.22,3.83,Red,33.71,31.3
Fenugreek,Winter,72.8,Clayey,6.17,2.0,35.57,1.59,58.19,46.93,172.26,27.9,2.58,Red,46.74,44.27
Muskmelon,Autumn,18.1,Sandy,7.03,0.55,10.38,1.2,45.28,19.11,106.53,8.08,1.96,Gray,48.22,24.12
Rubber,Summer,54.8,Silty,7.06,4.92,18.95,1.58,80.81,39.4,176.11,22.62,4.5,Gray,43.86,49.51
Pistachio,Autumn,33.7,Clayey,7.27,2.72,39.88,1.26,60.84,26.1,90.79,5.24,2.79,Red,38.39,21.75
Bamboo,Winter,75.2,Clayey,5.68,4.72,22.84,1.31,67.18,11.03,179.08,11.15,3.49,Yellow,30.97,28.67
Sweet Potato,Winter,27.1,Silty,8.42,2.97,36.65,1.28,15.6,34.79,51.21,6.72,3.0,Red,49.86,43.25
Cucumber,Spring,90.3,Loamy,6.9,3.22,19.84,1.23,62.73,15.42,190.18,17.88,3.25,Red,56.11,30.73
Grapes,Winter,48.8,Loamy,8.28,3.7,25.76,1.45,37.06,17.96,161.91,13.58,2.63,Gray,52.01,34.41
Wheat,Winter,27.8,Loamy,5.53,1.94,35.63,1.39,54.4,6.46,111.91,8.44,2.71,Black,56.79,25.6
Carrot,Autumn,49.4,Loamy,6.24,3.65,28.17,1.25,29.98,5.74,136.6,5.01,4.28,Black,57.89,41.46
Green Gram,Autumn,46.8,Silty,5.81,2.87,31.76,1.17,65.3,28.11,189.95,14.71,1.58,Black,43.49,25.39
Cardamom,Summer,48.6,Sandy,7.81,3.53,16.86,1.26,23.27,7.6,137.38,12.36,3.71,Red,50.94,45.46
Lychee,Spring,62.7,Clayey,6.46,4.26,14.68,1.29,21.06,14.42,84.29,6.17,1.42,Red,41.92,36.18
Walnut,Autumn,56.9,Clayey,8.02,1.33,16.91,1.29,26.96,46.57,135.93,26.29,0.45,Yellow,57.59,36.44
Fenugreek,Winter,23.5,Loamy,8.0,3.26,24.79,1.28,83.57,8.73,180.72,15.27,4.53,Gray,46.89,48.01
Brussels Sprout,Summer,15.9,Silty,7.5,0.73,34.03,1.12,13.02,18.09,198.12,24.37,2.11,Red,52.57,43.19
Lentils,Autumn,75.6,Sandy,7.5,0.96,20.62,1.33,75.66,37.69,137.61,15.55,3.45,Brown,30.44,42.29
Eggplant,Spring,60.4,Sandy,7.6,3.54,26.94,1.52,15.09,44.79,73.35,6.69,3.81,Brown,47.27,45.74
Garlic,Spring,42.3,Clayey,7.52,0.82,34.14,1.19,63.27,7.08,165.76,14.86,4.01,Gray,52.26,22.75
Celery,Summer,82.8,Loamy,6.66,3.18,17.16,1.17,79.62,13.34,199.54,27.15,1.21,Brown,37.71,41.78
Dragon Fruit,Summer,44.9,Clayey,7.55,1.49,36.49,1.34,30.8,22.45,121.05,5.19,3.31,Brown,30.43,27.0
Chili,Summer,81.6,Clayey,8.19,1.87,38.59,1.29,27.64,21.24,107.56,27.38,3.83,Gray,52.31,28.43
Rice,Summer,37.5,Sandy,6.5,1.08,11.17,1.38,36.03,17.98,132.88,21.42,0.69,Red,40.14,20.45
Cucumber,Summer,16.6,Silty,8.33,1.62,11.77,1.57,72.97,15.9,74.71,29.89,0.79,Red,42.86,46.81
Lentils,Winter,93.9,Sandy,5.54,4.2,12.73,1.48,32.93,17.09,195.69,27.9,1.88,Yellow,46.86,42.17
Thyme,Winter,45.5,Clayey,6.55,3.37,33.3,1.44,55.16,11.0,175.75,26.72,1.58,Red,33.31,24.18
Fenugreek,Autumn,81.3,Loamy,5.9,4.77,15.68,1.31,22.1,12.35,66.95,5.94,4.01,Brown,33.11,29.84
Potato,Spring,35.1,Loamy,5.88,0.72,31.77,1.24,51.51,32.3,191.76,12.01,3.25,Brown,58.83,34.4
Corn,Winter,68.2,Silty,7.95,4.07,23.24,1.37,66.23,18.15,191.42,14.37,2.54,Yellow,40.17,34.82
Spinach,Winter,88.6,Silty,8.26,3.65,35.09,1.54,16.46,22.99,97.45,22.5,0.62,Gray,37.67,37.87
Sunflower,Winter,13.7,Silty,7.83,1.67,34.26,1.54,83.39,23.54,142.87,21.22,0.65,Brown,31.43,34.17
Guava,Autumn,84.8,Clayey,8.43,3.78,38.79,1.32,94.37,9.94,66.61,9.29,2.63,Red,35.22,39.46
Green Gram,Summer,61.4,Clayey,6.15,3.72,17.53,1.22,27.42,41.88,62.63,23.42,4.43,Red,42.93,46.52
Chickpea,Autumn,64.7,Silty,5.92,2.57,16.88,1.21,78.35,48.04,125.27,8.89,3.9,Red,40.26,31.94
Tobacco,Spring,57.1,Loamy,7.06,3.6,10.95,1.12,38.21,16.86,57.45,16.41,4.42,Brown,42.74,46.3
Bell Pepper,Spring,88.7,Loamy,7.99,2.5,22.31,1.52,70.91,18.25,181.23,19.47,2.87,Black,51.12,26.59
Garlic,Spring,13.9,Loamy,5.62,2.01,23.77,1.23,37.6,36.19,189.21,26.77,1.18,Brown,49.25,23.64
Pear,Spring,33.5,Clayey,8.49,2.6,38.94,1.28,87.61,8.63,60.1,20.78,0.26,Brown,44.79,27.18
Pomegranate,Winter,88.8,Sandy,7.31,4.53,34.92,1.5,41.24,45.83,57.09,28.87,4.71,Black,54.44,26.2
Basil,Winter,77.7,Loamy,8.44,2.23,15.0,1.16,86.39,10.43,83.21,29.86,2.43,Black,55.72,49.55
Rye,Autumn,11.6,Loamy,6.6,2.32,33.95,1.33,78.95,37.94,189.49,17.72,4.31,Red,47.72,31.43
Brussels Sprout,Summer,56.5,Loamy,6.87,3.24,15.35,1.16,27.67,18.12,165.35,6.29,3.69,Red,33.53,39.54
Eggplant,Spring,57.7,Silty,7.76,3.89,12.33,1.32,24.13,19.55,151.47,5.71,4.18,Red,42.19,40.88
Vanilla,Autumn,46.1,Clayey,7.88,3.81,35.11,1.12,80.17,11.34,166.45,26.39,1.13,Brown,49.03,33.36
Pumpkin,Winter,36.8,Silty,6.2,0.59,39.28,1.36,45.13,34.09,79.92,17.5,3.43,Gray,31.89,26.71
Rye,Winter,71.4,Silty,8.29,3.59,12.64,1.5,95.45,40.77,88.49,14.17,3.64,Yellow,30.6,33.14
Peas,Summer,28.7,Sandy,8.1,2.53,34.42,1.44,94.87,47.76,97.64,12.11,2.81,Gray,58.45,34.21
Broccoli,Summer,81.9,Silty,5.55,2.86,35.78,1.35,72.41,19.92,140.76,12.04,4.19,Black,51.9,48.62
Pumpkin,Summer,82.3,Sandy,5.89,3.03,13.56,1.51,55.05,32.95,141.23,6.82,4.94,Brown,34.59,37.06
Sesame,Autumn,47.4,Silty,6.99,3.79,18.5,1.21,27.55,23.67,81.29,12.57,0.15,Brown,43.35,49.1
Sugarcane,Winter,35.5,Loamy,6.88,4.24,32.01,1.52,89.42,30.1,115.51,21.12,2.33,Yellow,35.81,37.3
Saffron,Winter,35.5,Clayey,7.63,3.41,34.23,1.24,17.38,12.33,153.5,14.63,3.79,Gray,30.31,24.35
Sunflower,Summer,53.4,Silty,5.77,3.04,20.62,1.28,43.33,31.18,96.44,28.7,3.66,Black,41.75,31.53
Taro,Spring,74.8,Sandy,7.43,2.18,14.8,1.16,38.73,43.21,61.32,21.7,2.39,Yellow,49.45,43.77
Brussels Sprout,Summer,42.3,Clayey,7.35,1.12,29.45,1.15,96.26,43.86,79.61,26.6,4.23,Brown,58.62,32.65
